bibnumber,name,gender,age,genderdiv,division,overallplace,pace,split5k,split10k,split20k,split25k,split30k,split35k,split40k,splithalf,officialtime,city,state,country,ctz
W2,"Van Dyk, Ernst F.",M,41,1,1,1,3.08,7.75,16.62,36.1,45.8,56.45,67.42,76.1,38.03,80.6,Paarl,,RSA,
W3,"Hokinoue, Kota",M,40,2,2,2,3.1,8.02,17.12,36.58,46.37,57.03,67.83,76.72,38.6,81.23,Nogata Fukuoka,,JPN,
W6,"Soejima, Masazumi",M,43,3,3,3,3.1,8,17.12,36.6,46.37,57.03,67.83,76.7,38.6,81.23,Isahaya,,JPN,
W4,"Hug, Marcel E.",M,28,4,4,4,3.23,8.38,17.65,37.65,47.67,58.6,70.23,79.83,39.72,84.65,Neuenkirch,,SUI,
W9,"Madera, Jordi",M,34,5,5,5,3.23,8.02,17.13,36.98,47.45,58.73,70.6,79.92,39.12,84.7,Les Franquesas,,ESP,
W15,"George, Joshua",M,30,6,6,6,3.25,8.93,18.75,39.08,49.15,59.92,70.83,80.18,41.18,84.82,Champaign,IL,USA,
W10,"Hamerlak, Tomasz",M,38,7,7,7,3.25,8.67,18.17,39.05,49.15,59.92,70.83,80.18,41.2,84.88,Bystra,,POL,
W1,"Yamamoto, Hiroyuki",M,47,8,8,8,3.27,8.02,17.37,37.65,47.67,59.18,71.4,80.43,39.72,85.25,Fukuoka,,JPN,
W19,"Senbeta, James",M,27,9,9,9,3.27,8.38,17.67,38.33,48.55,59.77,71.18,80.62,40.45,85.38,Champaign,IL,USA,
W26,"Tana, Rawat",M,36,10,10,10,3.32,8.98,18.77,39.37,49.75,61.17,72.62,82.18,41.52,86.9,Bangkok,,THA,
W7,"Lemeunier, Denis Sr.",M,49,11,11,11,3.32,8.4,18.13,39.03,49.17,60.85,72.6,82.17,41.18,86.95,Taule,,FRA,
W12,"Botello Jimenez, Rafael",M,35,12,12,12,3.32,8.68,18.17,39.05,49.15,60.87,72.7,82.17,41.2,86.95,Manlleu,,ESP,
W8,"Cassidy, Josh R.",M,29,13,13,13,3.35,8.02,17.12,38.02,48.88,60.82,72.83,82.38,40.2,87.4,Port Elgin,ON,CAN,
